comment,mark

Арсенал ❤❤❤,1

МЮ останется на месте в 3 туре.,1

"Мю забьет, победа Челси, Вэст Хэм забьёт",1

Колбаса будет уничтожена,0

"Че, 22 МЮ опять унизят, как думаете?😂",0

Дерби тура(МЮ-Ливерпуль)Дерби шейхов(Ньюкасл-МСити),1

Волки с форой ноль.Сороки с форой ноль.,1

Шпоры вернут себе 1 место на немного,1

"ТТХ
КП
Нотингем
Брентфорд
Лестер
Ничья
Ничья
Ничья
Сити
Ливерпуль",1

"ТТХ-Волки п1
Кристал Пэлас Астон Вилла тм 3.5
Эвертон Ноттингем тм 3.5
Фулхэм Брентфорд обз + тб 2.5
Лестер Саутгемптон обз
Борнмут Арсенал п2 фора -1
Лидс Челси обз п2
Вест Хэм Брайтон гол Брайтона + х2
Ньюкасл Ман Сити тб 3 + п2
МЮ Ливерпуль п2.",1

"жаль МЮ, снова унижение",1

Ливер п 2 всем миром,1

Мю Ливер 0-10,1

"ТТХ победа
Кристал пэлас - Астон вилла ( обе забьют )
Эвертон - Ноттингем Форест (ничья)
Фулхэм - Брентфорд ( обе забьют )
Лестер - Саутхэмптон ( обе забьют )
Бормут - Арсенал тб2.5
Лидс - Челси тб2.5
Вест Хэм  - Брайтон ( ничья )
Ньюкасл - Ман Сити (-1.5)
Мю - Ливерпуль ( обе забьют ) правда не знаю как 🙃Скорее выстрадают красные ничью 1-1 :)",1

"ТОТЕНХЭМ 2:0 ВУЛВЕРХЭМПТОН
КРИСТАЛ ПЕЛАС 1:1 АСТОН ВИЛЛА
ЭВЕРТОН 2:1 НОТИНГЕМ ФОРЕСТ
ФУЛХЭМ 1:1 БРЕНТФОРД
ЛЕСТЕР 2:0 САУТГЕМПТОН
БОРНМУТ 0:1 АРСЕНАЛ
ЛИДС 0:2 ЧЕЛСИ
ВЕСТ ХЭМ 3:1 БРАЙТОН
НЬЮКАСЛ 1:3 МАН СИТИ
МЮ 1:2 ЛИВЕРПУЛЬ",1

"Две на данный момент ниочемные команды МЮ и Ливерпуль, походу покажут жаришку",0

"Мю-Леверпуль
....",1

"Мю и Ливерпуль, репетиция перед чемпионшипом",1

Будет как всегда 4-0,1

Ливерпуль победит Мю,1

"Тоттенхэм
Ничья
Форрест
Брентфорд
Саутгемптон
Арсенал
Челси
Брайтон
МС
Ничья",1

"мой прогноз 
Тоттенхэм 3:1 Вулверхэмптон 
Кристал пэлас 0:2 Астон Вилла 
Эвертон 2:1 Форест 
Фулхэм 2:4 Брэнтфорд 
Лестер сити 2:0 Саутгемтон 
Борнмунт 1:5 Арсенал 
Лидс 1:0 Челси 
Вэст хэм 2:2 Брайтон 
Ньюкасл 1:4 Ман сити 
МЮ 1:3 Ливерпуль",1

"Сити , засчитывается сразу поражение!!!",1

"Кому интересно АПЛ на русском, и другие турниры в прямой трансляции в лс",1

"Смотрю, турецкую супер лигу жаль что АПЛ не показывают",1

МЮ выиграет 2:0,1

"ПИТТУНХЭМ 2:1 ВУЛВЕРХЭМПТОН 
КРИСТАЛ ПЭЛАС 2:1 АСТОН ВИЛЛА 
ЭВЕРТОН 2:1 НОТИНГЕМ ФОРЕСТ 
ФУЛХЭМ 1:3 БРЕНТФОРД 
ЛЕСТЕР 2:0 САУТГЕМПТОН 
БОРНМУТ 0:6 АРСЕНАЛ 
ЛИДС 0:4 ЧЕЛСИ 
ВЕСТ ХЭМ 1:2 БРАЙТОН 
НЬЮКАСЛ 1:4 МАН СИТИ 
МЮ 3:0 ЛИВЕРПУЛЬ",1

"ТОТЕНХЭМ 0:1 ВУЛВЕРХЭМПТОН 
КРИСТАЛ ПЕЛАС 2:1 АСТОН ВИЛЛА 
ЭВЕРТОН 1:1 НОТИНГЕМ ФОРЕСТ 
ФУЛХЭМ 1:1 БРЕНТФОРД 
ЛЕСТЕР 2:2 САУТГЕМПТОН 
БОРНМУТ 0:5 АРСЕНАЛ 
ЛИДС 1:1 ЧЕЛСИ 
ВЕСТ ХЭМ 3:1 БРАЙТОН 
НЬЮКАСЛ 1:3 МАН СИТИ 
МЮ 0:2 ЛИВЕРПУЛЬ",1

"ТОТЕНХЭМ 3:1 ВУЛВЕРХЭМПТОН 
КРИСТАЛ ПЕЛАС 1:1 АСТОН ВИЛЛА 
ЭВЕРТОН 1:1 НОТИНГЕМ ФОРЕСТ 
ФУЛХЭМ 1:1 БРЕНТФОРД 
ЛЕСТЕР 2:1 САУТГЕМПТОН 
БОРНМУТ 1:2 АРСЕНАЛ 
ЛИДС 0:2 ЧЕЛСИ 
ВЕСТ ХЭМ 1:1 БРАЙТОН 
НЬЮКАСЛ 1:1 МАН СИТИ 
МЮ 1:2 ЛИВЕРПУЛЬ",1

Где матчи показывают?,1

Дайте ттх тейлора и Дина они дойдут до финала кубка лиги :),1

Кристал пэллас чемпион,1

как же ужасно играет лестер...,0

"Арсенал отлично начал 👍интересно посмотреть до конца сезона. Теперь и рисунок игры видно, желание, что делать знают. Пока фавориты . Да же сити по качеству игры уступает… отличный будет сезон борьба и Андердоги появятся скоро",1

Руни советует не пукать,0

Лучше бы своим клубом занялся(0:6),1

Выпускать их точно не надо,1

Рэшфорд бревно,0

Надо их выпускать,1

Испанский стыд,0

Я думал там трек Гуфа будет 🤣,1

Красавчик!,1

Красава) срочно нужно в Ливерпуль его забирать,1

Кто эти люди?,1

Главное чтобы срать не захотел,0

что за хуета?,0

Маунт его ещё не тролил ?),1

"Хуево что не играет толково, а только танцует и поет, будет в чемпионшипе скоро",0

получше кизару будет хзаха,1

Итальянский мафиози 🇮🇹,1

Какие у него достижения?,1

"У Волков стоит подписать Невеша, вчера он подарил столько моментов своим нападающим, раздал столько прекрасных навесов что не смогли сделать Бентанкур и Хойберг!",1

Так надо было его отпустить в прошлом году,1

Лунин одобряет,1

Хоть и придурок но он все по факту говорит,0

"Дурака учить, что покойника лечить💪",0

"название у его программы такое, что там много болтать надо. он делает свою работу",1

Эксперт 🤣,1

Отбор лохов,0

Клопп в своё был экспертом. И весьма крутым,1

Агбонлахор и эксперт беспонтовый и футболист блевотный был,0

"Тоже не понимаю почему Клопп вступился за МЮ... Может реально ссыт, что могут против них обделаться) Но при этом хорошо Габи опустил про игру 6:0)",0

"Клопп был одним из лучших экспертов в Германии, и его шоу было популярным, то что имел ввиду Клопп, это футбол и здесь всё возможно и не стоит судить о ком-то исходя из одного матча, прим напоминание про 6-0, так как любая команда может отступится, но тока топ клуб и топ игроки всегда стоют на рельс победы. Габи был футболистом не высокого ранга таким и экспертом является",1

"Не раз вижу , что тренер может заступится за тренера другой команды , потому что они понимают причины и следствия.. Скорее всего Клопп и осадил этого типа из-за этого.",1

"Мне нравится этот парень 
Жёстко со всеми общается
Так и надо",1

Лузерпуль надеюсь займет заслуженное 10-место 💪,0

Да берете за щеку только в путь,0

Да Юнайтед вас обоссыт завтра,0

Ливерпуль ещё покажет всем ),1

"Сказочное зрелище будет: весь состав манков будет бегать за Салахом, пока Наби Кейта спокойно будет пента трик оформлять💪💪💪",1

"Лузерпуль в моче!!! И это приближает великий Мю на шаг вперёд к Чемпионству, осталось только Лузерпуль обыграть",0

Почему Неймара оскорбляют?,1

Купите Мариано,1

Зеленский?,1

"Там мобилизация в стране😎, а эти мячики катают😂 пАтриоты-шизоиды",0

"Он уже в команде, встаёт с мячем на месте и ногой дрыгает",1

"ебаный нытик, очки ему просто так давай... так блять может сразу кубок АПЛ вынести?",0

Главное запомнить что муму клуб пидарасов,0

физрук,0

"Свои очки снял, другие хочет))",1

"Всё по сути . Почему другая команда должна страдать если у принимающей стороны неадекватные болельщики? Тем более прецедент уже был в прошлом сезоне . Либо техническое поражение , либо игра без болельщиков",1

Умник  блин,0

"Всё по полочкам раскидал! И так сумашедший график, так ещё из-за болел матчи переносить... Сорвали матч, техническое поражение и пусть в другой раз думают, стоит ли так делать!? Безнаказанность пораждает преступление!",1

"Ливер не может, муму поможет🤣",0

Так и так мю продует а этом матче с вероятностью 95%,1

"Он верно сказал. Болелы захотели протестовать в день матча, а не в остальные  6 дней недели? Техническое поражение! Пусть хоть все остальные игры так же делают. Переносить из-за этих оленей игры с другими командами несправедливо. И прецедент уже был. Так что МЮ может после этого винить не только верхушку и игроков, а ещё и болел",1

засчитается ли тогда нуньесу как 1 пропущеный матч изза дисквалиф,1

Правильно.. А точнее остальным клубам АПл похуй на мю и ных их проблему..,0

Игра хорошая так и надо,1

Доминация в чистом виде,1

"Как арсенал заиграл ,не удивлюсь,что это будущие чемпионы",1

Это пока соперник то Борнмут то другая слабая что будет дальше посмотрим,1

"Вы это хорошей игрой называете? Серьёзно? У борнмута меньший процент брака в матче был, тупо с реализацией проблемы были, арсенал всю игру возле своих ворот мяч сопернику отдавал, будь это любой Топ клуб, сосал бы арсенал как и обычно",0

"Подводя итоги, арсенал клуб пидорасов",0

Да рано радуетесь,1

"Игры были с Борнмутом, КП и никакущим Лестером. Чего радоваться так рано? Пусть сыграют с реально крепкими командами и тоже выиграют. А то снова начнут дуть всем и на выходе получим старый Арсенал",1

"Вот сейчас будет Фулхем, он поинтереснее будет Борнмута и Лестера на данный момент, Митровича если опекать хорошо, то проблем особо и не возникнет, а так эта команда будет биться до последнего",1

"Все такие интересные ,пишут тут про слабые команды и так далее ,а вот вы забыли ,похожу ,что в АПЛ легко может и последнее место обыграть первую команду .Нет сильных и слабых,а есть соперник ...и очки нужно брать в каждом матче.",1

"Интересно про каземиро он говорил также как и про Касильяса, роналду и прочих?",1

"Да но про церемонию прощания он подметил точно.
Скоро и с ним простятся причём навсегда.",1

Мля такое чувство что в последний путь провожают,0

А че Петросян на фотке?,1

"Было право решать свое будущее, он заслужил 😂
Перес конечно конч тот еще",0

Он начал ценить легенд?,1

"За бабками пошёл 😆 а так удачи ему,  главное что бы за играл",1

А че с Марсело тогда церемонии не было?,1

Мю > Лузерпуль,0

"Больной извращенец
В Зимбабве на плантации",0

фэйк,1

Он что пол британии снасильничал)),0

Одна из праституток,0

"Мне одному кажется, что он пиздец , как набрал в весе !",0

😂😂😂 ша все девушки будут в суд подавать его,1

Это девушки.. Сами прыгали в постели.. Теперь хотят наверное побольше заработать на нем...,1

Ххаххахах.. Они пошли к нему домой.. Зашли сами в спальню.. Разделись... А потом они не дали ему... Как это?,0

Арсенал топ,1

"Арсенал
Лондон красный ❤️",1

"Пока МЮ выиграет предсезонный трофей, Арсенал готов их отправить в Чемпионшип ближайшим реисом, через Ливерпуль",1

так и закончится чемпионат,1

"Завтра Сити проиграет чемпиону, так что Арсенал единственный с 9 очками",1

"Молодцы Арсенал, не ожидал !",1

До первого топа,1

"А ведь есть даунята который считают что артета,такой же физрук как и Джерард,лемпард, Сульшер,гатузо и т.д
🤣🤣🤣 Виера всех их вертел.
Я уже молчу про Доминатора .
Хуль закончившие на отлично школу Венгера",0

Ещё всего-то 35 матчей осталось победить,1

МЮ все равно будет выше арсенала,1

"Надеюсь мю выиграет ле
Что бы 5 команда от Апл в лч были",1

"Доминаторы обыграли один шлак и радуются
Ахах",0

артетим,1

Арсосал до первого топа,0

Хуяссе,0

Теперь фаны Арсенала появились,1

Посмотрим сколько очков Арсенал наберёт в октябре - ноябре😄,1

"Каждый год наблюдаем как середняки празднуют чемпионства в первых турах, когда топы только входят в сезон",1

Фанаты мю нам пиздец,0

Мю помойка,0

Лучшие ❤️,1

Арсенал это твой сезон👍👍👍👍👍,1

"8 и 18 октября красных шлюх поставят раком на Эмирейтс, перед их же болельщиками",0

Фулхэм чемпик🤸‍♂️🤣,1

лондон все равно белый),1

арсенал и мю на своих местах,1

MЮ на дне,0

Ливерпуль вы че АХУЕЛИ 🤦‍♂️,0

АРТЕТАБОЛ!!,1

Не фанат Арсенала но рад за них,1

Почему столько неадекватных фанов Арсенала ?) Всего три тура и Лондон красный у них)),1

В конце сезона нужно смотреть а не сейчас,1

Обожаю апл💪интрига всегда есть.,1

ливрепуль и мю будут разрывать чемпионшип)),1

Ливерпуль еще внизу,1

Почему столько неадекватных фанатов с отбитым мозгом на этом канале и вообще?,0

Арсенал чемпик,1

Челси вперед,1

Е бой Арсенал,1

Куда арсенал гонит,1

Всех болельщиков Арсенала с победой!,1

Требл наш,1

"ОФИЦИАЛЬНО
""Арсенал"" - первый клуб Лондона! 
Я как болельщик ""Членси"" со стажем 20+ лет, официально признаю ""Арсенал"" первым клубом Лондона, а мой ""Членси"" - тридцатым, расположенным между ""Петунхемом"" и ""Кристал Пэлас"". Еще хотелось добавить, что все это документировано, в голосовании принимали участие ЛГБТ+ болельщики ""Членси"" (все болельщики). Главный тренер команды Томас Тухуйел так же внёс весомый вклад в признание. Ожидается, что в скором времени Срэмфорд Бридж перекрасят в красные гуннерские цвета, а эмблему ""Членси"" прилюдно обоссут.",0

Лондон-красный! 🔥❤,1

Красавчики!!!,1

Это че за магия почему Жезус не забил?,1

"💥💥💥С победой, гуннеры💥💥💥",1

Следующий!,1

Доминатор строит второй Сити,1

"Ахахах. Как же болельщики Арсенал повылазили. В конце прошлого сезона были тише воды, ниже травы.",1

"Ваш выход господа, которые за две игры похоронили уже Эдегора",1

"Øдэгор💪🏽💪🏽💪🏽
Артэта красава🔥",1

"канониры, молодцы!",1

Скиньте плиз гол салиба,1

И где ваш членси обоссаный⁉️⁉️⁉️⁉️Арсенал короли Лондона,0

"Караван идет, собака лает. С победой Гуннеры, поздравляю!!!",1

Что не говори но Арсенал показывает красивую игру. Надеюсь ТТ подтянет атаку в Челси,1

Тоттенхэм - Вулверхэмптон / Обзор матча,1

Арсенчик взлетел))),1

Почему Борнмут 3 раза бил в вствор ворота Арсенала а везде покажут 1-6 удары в вствор кто нибудь сможет объяснить буду благодарен,1

"Зато во всех футбольных пабликах все говорят про Арсенал, кто то рад, а кто то на очко присел от игры Арсенала",0

"Честно,я рад за них",1

"Играет гуд, но и календарь благоприятный, ждем реальных испытаний💪",1

"Жалко. Борнмут интересная команда, тот же таверньер может 1 в 1 половину арсенала выиграть. Жду, когда вишни усилятся и будут рвать🔥",1

"Выиграли слабые команды - Лондон Красный😆😆😆😆😆🤣

Бл вы бы хоть подождали нориальных матчей",0

"вообше Арсенал радует. Артета - нений, как футболист был так себе, а вот как тренер он крут, трансферы отличные, команда в кураже. И не надо говорить тут некоторым фанатикам, что мол у Арсенала появились больльщики...Арсенал уже много лет один из самых популярных клубов в мире и в Англии, лично знаю людей, котороым под 40 и они с 90х годов болеют за Арсенал.",1

Магвая продается уверен,1

хари магвая,1

🇬🇧Maтч Apcенала и Борнmyта найдете на cтeне🇬🇧,1

скотт паркер после свистка на перерыв,1

Изи Арсенал,1

Кэп в огне,1

В какой группе транслируют матч?,1

На изи катаем.след подайте😁,1

Почему нельзя поставить камеру повыше(( Больно смотреть.,1

Какой классный футбол получается,1

"Ученик лысого шарлатана в действи, топ игра, топ трансферы",0

Радует глаз игра арсенала,1

Пенсобляди в моче!!!,0

"Сказать честно, я болею за Челси с 98 года по 
сегодняшний день.
Но как я рад видеть игру Арсенала и их победы",1

"49 минута бормут не одного удара по воротам не нанёс,  26 на 74 процент владения. 
Похоже не зря  Артета доминатор носит прозвище )",1

"Жезуса в зенит, артету в Спартак, эдегора в реал.",1

Красавцы !!!❤️💪,1

Доминатор расфигачит Борнмут на дрова,1

Вперёд Арсенал!!!),1

0:1 уже,1

Жезус гений,1

Началось,1

"Жесус, что за бриллиант,( по 3 турам)",1

"Ссылочник, где ты?",0

Дубль 🔥🔥🔥🔥🔥,1

Почему не оффсайд?,1

Дайте ссылку на прямой эфир,1

ещё раз говорю этот Арсенал уничтожит петушарник,0

Да у Арсенала самый лёгкий календарь)дальше соперники по серьёзнее посмотрим на результат,1

Арсенал лучше смотрится чем Ливерпуль,1

"Жесус, что за бриллиант,( по 3 турам)",1

Ссылку скиньте,1

15 минут без остановки петь чант посвященный Салиба это что то с чем то,1

Физрук лумпард,0

Все таки рот членпарда зарешал,0

Лимпард аут,0

Когда его уволят?,1

"Верим в лэмпарда, виден прогресс, стремление к победе",1

"Бейсболка топ,хендерсон хорош",1

Кого уволят раньше? Джерарда или Лэмпарда?,1

Отскок эвертона,1

"Онана это пиздец, что за кота в мешке они купили)",0

Два главных претендента на вылет,1

форест чуть чуть не повезло((,1

"Проиграл Брентфорд, но МЮ в моче
Это вам не МЮ обыгрывать",0

Фулхэм явно хочет в зону еврокубков,1

"Всё. Митрович потратил все голы на этот сезон, можно не выпускать.",1

Митровичу золотую бутсу!!!,1

Митровича бы в Челси вместо наемника абухуянга,0

Отскок Срулхэма,0

карма брентфорду от муму)),0

"Странно, проиграл Брентфорд, а в моче пенсобляди",0

Красавцы дачники,1

Фулхэм боевитая команда. Такое ощущение выходят на поле рубиться. Респект,1

Ох как фанаты петушков то повылазили😃,0

На первой и последней минуте забили😁👍,1

Митрович топ,1

"Если Фулхэм победил Брентфорд со счетом 3:2, то Фулхэм победит МЮ со счетом 8:0? 🤣🤣🤣",1

"Физрук жирорд опять обдристался, хуже него разве что лумпард
P.S. бывший дьявол Заа уже начал ебать скаузеров и жирорда, на очереди пенсобляди",0

Сегодня день букмекеров🤣🤣🤣,1

Пока что две легенды в тренерской должности не справляются,1

Два физрука - Жирорд и Лимпорд,0

"Вот она вот она.
Школа Венгера что Доминатор что Патрик ебут всех и вся .
А два распияреных физрука берут болт в ротан из матча к матчу",0

Мартинес дырка? Или защита?,1

Воткинск забил ой бля,0

КП прям сильно начал,1

Как там у Коутинье дела ?,1

Джеррард как и Ливерпуль ни о чем,0

"Збс
Надеюсь уволят это недоразумение",0

"Роджерс, Лэмпард, Джеррард паровозиком на улицу",1

Что с тобой произошло Лестер ?,1

Где остальные обзоры,1

Обосрали лисов,0

Ральф хорош,1

"Лестер так держится за фофану, требуя рекордную сумму, хотя и так переплачивают немало. С такой игрой лестера в след году его и за половину не купят.",1

Всегда Нравился Чее Адамс,1

"Спад у Лестера. Никого не купили.  Нет мотивации после 2 года , где заняли 5 место и не вышли в ЛЧ .",1

САУТГЕМПТОН ЛУЧШИЙ КЛУБ МИРА!!!,1

Ждём выход Виера,1

"Ждём гола Жезуса, ставлю на него😍",1

Обз в первом тайме,1

"3-1, 4-2 счет. Скиньте) голы: Жезус, Одегор 100%",1

арсенал выиграет,1

Вперёд канониры ❤️💪,1

Разьеб от Доминатора,0

Асриноль в моче,0

Ссылку можете скинуть,1

Дело Парти замяли?,1

"Эвертон помойка, Физрук у власти, толку нету🙄",0

Бренфорд прям удивляет,1

"Фан МЮ, но Фулхем из Чемпионшипа смотрится лучше МЮ. Ну и думаю Эвертон может с такой игрой вылететь спокойно",1

Классный гол Лестер забил,1

Хуй,0

Выиграть у Мю 4:0 и проиграть фулхэму суки бляяя,0

Пэлас 2.1,1

🇬🇧Maтч Эвepтона и Ноттuнгeма на cтeне🇬🇧,1

"Минута даже не прошла, что за херня вашу мать Брентфорд?",0

Фулхэм показал мю как надо ебать ноунеймов ( для мю ),0

Хахаха брентфорд аххахаха,1

Фулхэм решил в этом сезоне остаться в апл?),1

Астон вилла в месте с мю в шип,1

Первый клуб Лондона на классе. Членси есть чему поучиться,0

Дикий отскок,0

Отскок автобуса истерички,0

Кейнушка тащер,1

Аплодисменты стоя волкам .,1

"Понабегут сейчас клоунов, которые будут скулить, что ТТХ отскочил, и вообще они петухи, которые ничего не могут",0

"Опять петухов возили всю игру и они чудом отскочили  как и с Челси, Конте физрук",0

Где матчи смотреть?,1

"У Тоттенхэма xG 1.79, а у Волков 0.68. Заслуженно Тоттенхэм выиграл. Не скулите фанаты челси.",0

Ну такое,1

Сучки,0

🇬🇧Maтч Эвepтона и Ноттuнгeма на cтeне🇬🇧,1

"Питушня разыгралась, может в этом сезоне возьмут кубок лиги🤣",0

"Псы скулят, караван идëт",0

Петушня опять отскочила?,0

Отскочили 100 знатно,0

Шпоры сила👍👍👍👍👍👍,1

У него же по-моему всегда были проблемы с голами в августе. Не забивал в этом месяце. Подскажите,1

"О, ну это надолго новый рекорд.
Это практически трофей",1

"183,184 и 185))еба прикол",0

