comment,mark

"ЦСКА - Ахмат 3-0
Зенит - Торпедо 0-1
Краснодар - Оренбург 2-2",1

Южное дерби топчик этого чемпионата. 👍,1

"ЦСКА Ахмат 1-4
Кра Орен 0-1",1

Только Динамо!,1

"ЦСКА 2-0 Ахмат 
Зенит 4-0 торпедо 
Краснодар 4-0 Оренбург",1

Так и должно быть))),1

"ЦСКА 3-0 ахмат
Зенит 6-0 торпедо",1

"Никто не ответил!
Во всех матчах, красные карточки 🤫🤫🤫",1

притопим за цска,1

Завтра Зенит вернётся на первое место и думаю Зенит его больше не потеряет до конца сезона.,1

"У Зенита результат зависит от мотивации и лени. Могут забить один и ходить по полю важно, а в конце получить в свои и трудовая ничья.",1

ЦСКА 1:3 Ахмат,1

Оренбург💪💪💪,1

"Зря смеемся, ФК Оренбург может завтра обыграть ФК Краснодара, Краснодар это как ФК Спартак.... внезапно может проиграть дома аутсайдера,хотя Оренбург середняк",1

ЦСКА2 1 : Ахмат,1

Зенит 5:0 Торпедо              ЦСКА 0:2 Ахмат,1

"А след туре Ростов примет ФК ЦСКА у себя дома, надо Федотову нанести ещё одно поражения...
После шести игра 3/3/0, уже несовсем доволен турнирной таблицей, соперник подтянутся,а три ничьи при шести игр равняется одному поражения",1

Два дерби в субботу 🔥🔥🔥🔥🔥,1

Зенит с первым местом,1

"Не ожидал, то что Спартак проиграет. Ну,бывает, все таки московские братья🤜🤛",1

"ЦСКА 3:1 Ахмат 
Зенит 5:0 Торпедо
Краснодар 1:0 Оренбург",1

Завтра лидер турнирной таблицы сменится,1

"цска ахмат 4:1
зенит торпедо 3:0
Краснодар оренбург 2:0",1

"""Валерики"" в своем репертуаре😄 ""Валероверы"" счастливы, наверное😄",0

Пока таблица.  Спартак 13. Ростов 12.  Динамо 12.  Зенит 11. Цска 10. Сочи 10.  У зенита и цска игра в запасе.  Зенит выйдет на 1 место при победе над торпедо..верится с трудом что автозаводцы отнимут очки ) цска только 2 место может максимум но им надо +3 победить ахмат. По разнице уступают Спартаку 3 мяча как раз.,1

Спартак 4 игры из 6 в гостях . .а станет 5 из 7 после факела жесть ...и все равно они лидеры .. весной у спартака удобный график почти все дома ),1

"Цска ахмат 3.1
Зенит торпедо 2.2
Краснодар Оренбург 1.2",1

"ВАР это просто👎, футбол превратился в ничтожество , каждое касание -пенальти",1

"На сегодня, обе забьют, п1, тотал больше 1,5",1

Конкуренция... Вот так вот зенит и станет снова чемпионом.,1

Ростов удивил должен был забивать хотя б 1 пенку...,1

"Вперёд Торпедо и Ахмат! Надеюсь, Зенит и ЦСКА потеряют очки, и Спартак первое место сохранит!",1

Краснодар - Оренбург ОЗ 100%,1

"Зеениит, только яйцами звенит👍",1

"Зайди, не пожалеешь)",1

"Сборная Бразилии с Оренбургом какой счёт..,",1

"Пидорасты,почему не показать в воскресенье матч, Уроды",0

"ЦСКА 2:1 Ахмат
Зенит 5:0 Торпедо
Краснодар 3:1 Оренбург",1

"ЦСКА-ахмат 2-1
зенит-торпедо 3-0
краснодар-оренург 0-2",1

Болеем за Торпедо! Дайте бой Зениту💪,1

"Давайте адекватную аналитику. Бесспорно Зенит вынесет Торпедо. А вот Коням и Быкам придётся потрудиться. Если Ахмат настроится, то может быть сюрприз.",1

Зенит Торпедо  1 -2,1

Рубин ?,1

"Обидно за ""Крылья""...",1

Хоть кого-то локо обыграл🤣,1

Краснодар 1-2 Оренбург,1

"ЦСКА Ахмат 2-0
Зенит Торпедо 3-1
Краснодар Оренбург 2-1",1

Вся Россия за Ахмат!,1

Где можно посмотреть?,1

Побеждать🔴🔵💪,1

Удачи ЦСКА! (Динамо),1

П О Б Е Ж Д А Т Ь ❤💙,1

Агаларов зря пришел получается,1

Побеждать ❤💙,1

за ЦСКА,1

Побеждать!❤💙,1

Вперёд ЦСКА,1

ЦСКА всегда будет первым❤💙,1

Подскажите есть у кого группы в телеге на трансляции матчей? Поделитесь пожалуйста,1

ЦВБП ❤💙,1

"Ахмат может преподнести сюрприз, но скорее всего победа будет за ЦСКА",1

2:1 ЦСКА   wins,1

3:1,1

3:0,1

ЦВБП,1

"Дома Ахмат нужно обыгрывать, на вывезде с ними намного тяжелее будет",1

"да разнесут их, тем более дома)))",1

Дави Москву,1

Вперёд ЦСКА. Накажите фанатов ахамата,1

А фукс вообще планирует играть то? 😂,1

Хорошая вратарская школа,1

"Только вчера он 1 отразил,а не 2",1

И Акинфеев с Сафоновым,1

Вроде как Ребров в матче с волгой,1

Еще Лодыгин,1

Поразительно!,1

Один из пенальти отбила штанга,1

"Будем честны, что оба пенальти были слабо пробиты, одно вообще в штангу",1

Вчера вратари были на высоте,1

Качественно исполненное пенальти с вероятностью 99% будет забито,1

"Какие 2 ? Один отбил, второй просто в штангу попал",1

"Во втором ему повезло, мяч попал в штангу! А так Ростов больше победу заслужил. Отскок сочи)",1

Кто Лодыгина вспомнил?,1

"А что Уткину даже жёлтой не дали , человека в больничку отправил",1

Штанга подруга кипера:),1

"на замедленном видно что он перевел второй мяч в штангу , чисто его заслуга",1

"Да уж, конечно, такие матчи раз в 10 лет могут быть)",1

Он отразил один пенальти.,1

В сборной тура буду голосовать за него если сегодня его никто не переплюнет,1

Ети он лох,0

"Люди , которые пишут , что кипер потащил лишь 1 пенальти , вы в глаза е5ётесь что ли?! 😁
На повторе всем зрячим сразу видно , что вратарь перевёл мяч кончиками пальцев в штангу, да ещё и добивание парировал. 
Красавчик мужик, две психологические баталии потянуть за один матч.",0

👍👍,1

"Топищеееее, красава",1

"Он крут, но не настолько крут как Селихов отразивший пенальти Наполи. Или Акинфеев который отразил пенальти в полёте ногой",1

Но лучшим вратарем тура в к равно будет акинфеев))),1

Ничья,1

Карраскаль дубль,1

Ахмат победа!,1

Сегодня за Ахмат! Грозный вперёд!,1

Вперед Ахмат👍💪,1

Только победа,1

Всё мясо за Ахмат😹,0

ЦСКА удачи в этом матче!,1

Грёбаный матч канал ни один матч не покажет,0

"Обоссаные свинорылые за Ахмат🤣🤣🤣Вчера соснули,петушки!",0

"Ахмат сила,Дон",1

"""Ахмат сила"" но не сегодня❤💙",1

ЦСКА✊🏻,1

а нас будут в задницу иметь.....,0

